label_id,label_name,label_ru,description,link
0,African_hunting_dog,Африканская гиеновидная собака,"Африканская гиеновидная собака - как правило, живет в диких условиях. Хищник, который обитает в странах Африки, и умеет выживать, несмотря на дикие условия ареала обитания. Реже одомашенная - незаурядный характер этого животного поражает своей стойкостью, она решительна и умна, ловка и дружелюбна, опасна и хитра, но семья для неё главная ценность. ",https://wildfauna.ru/gienovaya-sobaka
1,Appenzeller,Аппенцеллер зенненхунд,"Аппенцеллер зенненхунд (аппен) – порода швейцарских собак черной или коричневой масти с пятнами белого и рыжего цвета. Выведена в кантоне Аппенцелль. Исторически относилась к сторожевым, пастушьим и фермерским породам. ",https://lapkins.ru/dog/appentseller-zennenkhund/
2,Bernese_mountain_dog,Бернский зенненхунд,"Бернский зенненхунд (бернская овчарка) – ласковый и обаятельный гигант с самой добродушной «улыбкой» на свете. Представители этой породы – идеальные компаньоны, обладающие врожденным чувством такта и необычайно миролюбивым характером.",https://lapkins.ru/dog/bernskiy-zennenkhund/
3,Border_collie,Бордер-колли ,"Бордер-колли – самая умная порода в мире, используется как компаньон или рабочая собака. С большим желанием «пасет» все живое, даже человека, если рядом нет овец или коров.",https://lapkins.ru/dog/border-kolli/
4,Bouvier_des_Flandres,Фландрский бувье,"Фландрский бувье – старинная пастушья порода, лохматый внушительный великан и нежный домашний любимец.",https://petstory.ru/knowledge/dogs/dog-breeds/bouvier-des-flandres/
5,Brabancon_griffon,Пти-брабансон,"Пти-брабансон – декоративная порода, относящаяся к группе малых бельгийских собак. Ласковые и любознательные, брабантские гриффоны сильно привязываются к своим хозяевам.",https://lapkins.ru/dog/pti-brabanson/
6,Brittany_spaniel,Бретонский эпаньоль,"Бретонский эпаньоль – компактная подружейная легавая, выведенная во Франции. Отличается большим охотничьим азартом, рано пробуждающимися способностями к работе и врожденной склонностью к апортировке.",https://lapkins.ru/dog/bretonskiy-epanol/
7,Cardigan,Вельш-корги кардиган,"Вельш-корги кардиган – небольшая пастушья овчарка с вытянутым корпусом и короткими, крепкими ножками, имеющая сильное внешнее сходство с вельш-корги пемброком. Порода выведена в Англии, обладает невозмутимым и доброжелательным характером",https://lapkins.ru/dog/velsh-korgi-kardigan/
8,Doberman,Доберман,"Доберман – собака, самым удивительным образом сочетающая в себе высокий интеллект и преданность, бесстрашие и бдительность, силу и грацию.",https://lapkins.ru/dog/doberman/
9,English_setter,Английский сеттер,"Английский сеттер – дружелюбное и ласковое создание, чей характер сочетает детскую игривость и манеры аристократа. Ни то, ни другое не мешает животному быть великолепным охотником.",https://lapkins.ru/dog/angliyskiy-setter/
